term,term_translation,lang_code
https://www.iana.org/assignments/media-types/application/pkix-attr-cert,application/pkix-attr-cert,en
https://www.iana.org/assignments/media-types/application/pkix-cert,application/pkix-cert,en
https://www.iana.org/assignments/media-types/application/pkix-crl,application/pkix-crl,en
https://www.iana.org/assignments/media-types/application/pkix-pkipath,application/pkix-pkipath,en
https://www.iana.org/assignments/media-types/application/pkixcmp,application/pkixcmp,en
https://www.iana.org/assignments/media-types/application/pls+xml,application/pls+xml,en
https://www.iana.org/assignments/media-types/application/poc-settings+xml,application/poc-settings+xml,en
https://www.iana.org/assignments/media-types/application/postscript,application/postscript,en
https://www.iana.org/assignments/media-types/application/ppsp-tracker+json,application/ppsp-tracker+json,en
https://www.iana.org/assignments/media-types/application/private-token-issuer-directory,application/private-token-issuer-directory,en
https://www.iana.org/assignments/media-types/application/private-token-request,application/private-token-request,en
